id_1,aperture_sum_1,annulus_median_1,aper_bkg_1,aper_err_1,aper_bkg_err_1,signal_1,noise_1,ra_1,dec_1,e_H,Hmag,id_2,aperture_sum_2,annulus_median_2,aper_bkg_2,aper_err_2,aper_bkg_err_2,signal_2,noise_2,ra_2,dec_2,e_j,Jmag,Separation_1,id,aperture_sum,annulus_median,aper_bkg,aper_err,aper_bkg_err,signal,noise,ra,dec,e_K,Kmag,Separation
66,22470.0,81.21,9184.0,149.9,77.89,13290.0,168.9,36.82263470623797,61.88607785858253,0.01271,16.88,21,6763.0,17.22,2650.0,82.24,64.51,4113.0,104.5,36.82277509445223,61.88607267223054,0.02541,18.03,0.238887356653137,16,4529.0,-14.25,-1612.0,67.3,54.47,6141.0,86.58,36.82251645430652,61.88621374526855,0.0141,16.27,0.5287256166017636
67,13720.0,77.15,8725.0,117.1,79.76,4992.0,141.7,36.822595545920116,61.874015681611425,0.02838,17.94,20,3946.0,17.29,2662.0,62.82,58.58,1284.0,85.89,36.82274868328022,61.87401376196879,0.06691,19.3,0.2599786534124571,17,1045.0,-15.92,-1801.0,32.32,44.93,2846.0,55.34,36.82253709544757,61.87413709942454,0.01945,17.1,0.44821834506373504
69,35980.0,82.51,9332.0,189.7,105.4,26650.0,217.0,36.82234958398413,61.8754685507881,0.008144,16.13,22,10200.0,19.28,2968.0,101.0,67.56,7233.0,121.5,36.822496190624534,61.87547149108206,0.0168,17.42,0.2490168657328324,18,10590.0,-14.05,-1589.0,102.9,62.43,12170.0,120.3,36.82228533013822,61.87559210105564,0.009885,15.53,0.45795146474311066
71,29420.0,76.83,8689.0,171.5,84.53,20730.0,191.2,36.822113072367074,61.85560169069978,0.009225,16.4,23,6863.0,18.06,2780.0,82.85,60.66,4083.0,102.7,36.82225766017799,61.855590712077365,0.02515,18.04,0.24868578695914553,19,9575.0,-17.13,-1938.0,97.85,55.84,11510.0,112.7,36.82215640636443,61.855690803377506,0.009786,15.59,0.3291368748928509
72,14980.0,76.52,8654.0,122.4,81.52,6325.0,147.1,36.82202916091949,61.86738458207817,0.02325,17.69,24,3811.0,17.78,2736.0,61.73,63.24,1075.0,88.38,36.82214222838428,61.867380733751894,0.08223,19.49,0.1924257725559613,20,1495.0,-17.8,-2013.0,38.66,48.11,3508.0,61.72,36.82199616396953,61.86749770751505,0.0176,16.88,0.4110851836783739
74,209900.0,95.04,10750.0,458.1,125.9,199100.0,475.1,36.821658241975264,61.87667904891161,0.002386,13.94,25,30330.0,19.97,3074.0,174.2,64.24,27260.0,185.6,36.82179890238956,61.87667869769184,0.00681,15.98,0.23869496002139068,21,163700.0,-0.9065,-102.5,404.6,90.78,163800.0,414.7,36.821587626914265,61.876800453207224,0.002531,12.7,0.45318479128330197
78,16540.0,76.14,8612.0,128.6,89.7,7931.0,156.8,36.82085153003705,61.85461701983232,0.01977,17.44,27,5182.0,17.91,2758.0,71.99,56.6,2424.0,91.57,36.82097696309332,61.854608916420396,0.03777,18.61,0.2149935044571644,24,1599.0,-18.84,-2131.0,39.99,51.13,3730.0,64.91,36.820897615496385,61.85470381502494,0.0174,16.81,0.32211427101768325
80,13900.0,75.76,8568.0,117.9,71.38,5335.0,137.8,36.82063414567881,61.85243443359365,0.02583,17.87,28,4138.0,17.3,2663.0,64.32,52.32,1475.0,82.92,36.820757269692116,61.852422145436364,0.05622,19.15,0.21372716110430237,25,563.9,-18.78,-2124.0,23.75,49.26,2688.0,54.69,36.82069728332653,61.85251263377476,0.02035,17.17,0.30124925852626117
92,124700.0,89.39,10110.0,353.1,127.8,114600.0,375.5,36.818663343129195,61.896633297915955,0.003278,14.54,29,67810.0,23.18,3568.0,260.4,93.6,64240.0,276.7,36.81881902646217,61.8966329583439,0.004307,15.05,0.2640152002973798,26,36510.0,-11.97,-1354.0,191.1,67.27,37870.0,202.6,36.81849697592851,61.89677726558415,0.00535,14.29,0.5900975135800048
96,19410.0,84.58,9565.0,139.3,175.7,9845.0,224.2,36.81788893790465,61.89627209326456,0.02278,17.21,30,7340.0,20.99,3231.0,85.67,140.5,4109.0,164.5,36.81806158721637,61.89627177467915,0.04004,18.03,0.2927894779036708,28,2113.0,-13.41,-1516.0,45.97,95.26,3629.0,105.8,36.81771871786262,61.89641513823375,0.02914,16.84,0.590351009738457
